USAF,YR--MODAHRMN,TEMP,MAX,MIN,Celsius
29980,201705010000,37.00,,,9
29980,201705010100,37.00,,,9
29980,201705010200,37.00,,,9
29980,201705010300,37.00,,,9
29980,201705010400,39.00,,,13
29980,201705010500,41.00,,,16
29980,201705010600,44.00,44.00,35.00,22
29980,201705010700,45.00,,,23
29980,201705010800,48.00,,,29
29980,201705010900,51.00,,,34
29980,201705011000,52.00,,,36
29980,201705011100,51.00,,,34
29980,201705011200,54.00,,,40
29980,201705011300,49.00,,,31
29980,201705011400,50.00,,,32
29980,201705011500,52.00,,,36
29980,201705011600,50.00,,,32
29980,201705011700,52.00,,,36
29980,201705011800,48.00,54.00,43.00,29
29980,201705011900,48.00,,,29
29980,201705012000,46.00,,,25
29980,201705012100,44.00,,,22
29980,201705012200,42.00,,,18
29980,201705012300,39.00,,,13
29980,201705020000,38.00,,,11
29980,201705020100,36.00,,,7
29980,201705020200,36.00,,,7
29980,201705020300,35.00,,,5
29980,201705020400,40.00,,,14
29980,201705020500,46.00,,,25
29980,201705020600,50.00,50.00,34.00,32
29980,201705020700,54.00,,,40
29980,201705020800,52.00,,,36
29980,201705020900,53.00,,,38
29980,201705021000,55.00,,,41
29980,201705021100,55.00,,,41
29980,201705021200,57.00,,,45
29980,201705021300,60.00,,,50
29980,201705021400,60.00,,,50
29980,201705021500,59.00,,,49
29980,201705021600,57.00,,,45
29980,201705021700,56.00,,,43
29980,201705021800,53.00,61.00,49.00,38
29980,201705021900,50.00,,,32
29980,201705022000,49.00,,,31
29980,201705022100,46.00,,,25
29980,201705022200,46.00,,,25
29980,201705022300,44.00,,,22
29980,201705030000,42.00,,,18
29980,201705030100,40.00,,,14
29980,201705030200,39.00,,,13
29980,201705030300,39.00,,,13
29980,201705030400,42.00,,,18
29980,201705030500,44.00,,,22
29980,201705030600,47.00,53.00,38.00,27
29980,201705030700,50.00,,,32
29980,201705030800,50.00,,,32
29980,201705030900,53.00,,,38
29980,201705031000,54.00,,,40
29980,201705031100,56.00,,,43
29980,201705031200,56.00,,,43
29980,201705031300,56.00,,,43
29980,201705031400,55.00,,,41
29980,201705031500,54.00,,,40
29980,201705031600,54.00,,,40
29980,201705031700,53.00,,,38
29980,201705031800,51.00,57.00,47.00,34
29980,201705031900,49.00,,,31
29980,201705032000,48.00,,,29
29980,201705032100,46.00,,,25
29980,201705032200,45.00,,,23
29980,201705032300,43.00,,,20
29980,201705040000,41.00,,,16
29980,201705040100,40.00,,,14
29980,201705040200,38.00,,,11
29980,201705040300,38.00,,,11
29980,201705040400,40.00,,,14
29980,201705040500,43.00,,,20
29980,201705040600,45.00,51.00,37.00,23
29980,201705040700,47.00,,,27
29980,201705040800,48.00,,,29
29980,201705040900,49.00,,,31
29980,201705041000,51.00,,,34
29980,201705041100,49.00,,,31
29980,201705041200,49.00,,,31
29980,201705041300,51.00,,,34
29980,201705041400,48.00,,,29
29980,201705041500,48.00,,,29
29980,201705041600,47.00,,,27
29980,201705041700,46.00,,,25
29980,201705041800,44.00,52.00,44.00,22
29980,201705041900,42.00,,,18
29980,201705042000,40.00,,,14
29980,201705042100,39.00,,,13
29980,201705042200,40.00,,,14
29980,201705042300,38.00,,,11
29980,201705050000,37.00,,,9
29980,201705050100,37.00,,,9
29980,201705050200,36.00,,,7
29980,201705050300,35.00,,,5
29980,201705050400,38.00,,,11
29980,201705050500,41.00,,,16
29980,201705050600,45.00,45.00,35.00,23
29980,201705050700,49.00,,,31
29980,201705050800,52.00,,,36
29980,201705050900,55.00,,,41
29980,201705051000,58.00,,,47
29980,201705051100,58.00,,,47
29980,201705051200,59.00,,,49
29980,201705051300,57.00,,,45
29980,201705051400,59.00,,,49
29980,201705051500,58.00,,,47
29980,201705051600,59.00,,,49
29980,201705051700,62.00,,,54
29980,201705051800,58.00,64.00,45.00,47
29980,201705051900,55.00,,,41
29980,201705052000,54.00,,,40
29980,201705052100,53.00,,,38
29980,201705052200,50.00,,,32
29980,201705052300,49.00,,,31
29980,201705060000,47.00,,,27
29980,201705060100,46.00,,,25
29980,201705060200,45.00,,,23
29980,201705060300,45.00,,,23
29980,201705060400,48.00,,,29
29980,201705060500,51.00,,,34
29980,201705060600,54.00,59.00,44.00,40
29980,201705060700,56.00,,,43
29980,201705060800,57.00,,,45
29980,201705060900,58.00,,,47
29980,201705061000,59.00,,,49
29980,201705061100,59.00,,,49
29980,201705061200,58.00,,,47
29980,201705061300,58.00,,,47
29980,201705061400,58.00,,,47
29980,201705061500,57.00,,,45
29980,201705061600,56.00,,,43
29980,201705061700,55.00,,,41
29980,201705061800,52.00,59.00,52.00,36
29980,201705061900,49.00,,,31
29980,201705062000,47.00,,,27
29980,201705062100,45.00,,,23
29980,201705062200,44.00,,,22
29980,201705062300,43.00,,,20
29980,201705070000,41.00,,,16
29980,201705070100,40.00,,,14
29980,201705070200,38.00,,,11
29980,201705070300,36.00,,,7
29980,201705070400,38.00,,,11
29980,201705070500,41.00,,,16
29980,201705070600,43.00,52.00,36.00,20
29980,201705070700,46.00,,,25
29980,201705070800,46.00,,,25
29980,201705070900,46.00,,,25
29980,201705071000,46.00,,,25
29980,201705071100,47.00,,,27
29980,201705071200,48.00,,,29
29980,201705071300,46.00,,,25
29980,201705071400,44.00,,,22
29980,201705071500,46.00,,,25
29980,201705071600,44.00,,,22
29980,201705071700,42.00,,,18
29980,201705071800,42.00,50.00,42.00,18
29980,201705071900,41.00,,,16
29980,201705072000,40.00,,,14
29980,201705072100,41.00,,,16
29980,201705072200,40.00,,,14
29980,201705072300,39.00,,,13
29980,201705080000,39.00,,,13
29980,201705080100,39.00,,,13
29980,201705080200,39.00,,,13
29980,201705080300,39.00,,,13
29980,201705080400,38.00,,,11
29980,201705080500,40.00,,,14
29980,201705080600,41.00,42.00,38.00,16
29980,201705080700,43.00,,,20
29980,201705080800,42.00,,,18
29980,201705080900,42.00,,,18
